2026-04-13T15:48:39.6756202+03:00 | Bilgi | Ingenico açılış ön kontrolü başlatıldı.
2026-04-13T15:48:39.6758309+03:00 | Bilgi | Bağlantı Ayarı => Mod: Tcp, InterfaceId: COM1, IP: 192.168.2.13, Port: 7500, COM: \\.\COM5, Baud: 115200
2026-04-13T15:48:39.6760105+03:00 | Bilgi | TCP Probe başlatılıyor: 192.168.2.13:7500
2026-04-13T15:48:39.6817737+03:00 | Bilgi | Ham TCP bağlantı testi başarılı.
2026-04-13T15:48:39.6852026+03:00 | Bilgi | DLL'e gönderilecek bağlantı bilgileri:
2026-04-13T15:48:39.6853717+03:00 | Bilgi | InterfaceId: COM1, Mod: TCP, IP: 192.168.2.13, Port: 7500
2026-04-13T15:48:39.6907888+03:00 | Bilgi | FP3_GetInterfaceHandleByID retcode: 0
2026-04-13T15:48:39.6917163+03:00 | Bilgi | Interface XML Data: {"RetryCounter":3,"IpRetryCount":1,"AckTimeOut":1500,"CommTimeOut":10000,"InterCharacterTimeOut":100,"PortName":"\\\\.\\COM5","BaudRate":115200,"ByteSize":8,"fParity":0,"Parity":0,"StopBit":0,"IsTcpConnection":1,"IP":"192.168.2.13","Port":7500,"IsTcpKeepAlive":1}
2026-04-13T15:48:39.6923603+03:00 | Bilgi | Mevcut Ingenico interface bulundu. Handle: 652162138
2026-04-13T15:48:39.8282298+03:00 | Bilgi | Json_FP3_UpdateInterfaceXmlDataByID retcode: 0
2026-04-13T15:48:39.8383721+03:00 | Bilgi | FP3_GetInterfaceHandleByID retcode after create: 0
2026-04-13T15:48:40.6022149+03:00 | Bilgi | Json_FP3_FunctionGetHandleList retcode: 0
2026-04-13T15:48:40.6117274+03:00 | Bilgi | Ingenico ECHO kontrolü çalıştırılıyor.
2026-04-13T15:48:41.3258447+03:00 | Bilgi | Json_FP3_Echo retcode: 0
2026-04-13T15:48:41.3260575+03:00 | Bilgi | Ingenico ECHO başarılı.
2026-04-13T15:48:41.3265578+03:00 | Bilgi | Ingenico pairing durumu kontrol ediliyor.
2026-04-13T15:48:41.3310146+03:00 | Bilgi | FP3_IsGmpPairingDone retcode: 1
2026-04-13T15:48:41.3311313+03:00 | Bilgi | Ingenico açılış ön kontrolü başarılı.
2026-04-13T15:48:56.3856322+03:00 | Bilgi | Ingenico In-Process Task başlatılıyor. İşlem: payment
2026-04-13T15:48:56.4021308+03:00 | Bilgi | Ingenico ödeme akışı başlatıldı.
2026-04-13T15:48:56.4028217+03:00 | Bilgi | Bağlantı Ayarı => Mod: Tcp, InterfaceId: COM1, IP: 192.168.2.13, Port: 7500, COM: \\.\COM5, Baud: 115200
2026-04-13T15:48:56.4030737+03:00 | Bilgi | TCP Probe başlatılıyor: 192.168.2.13:7500
2026-04-13T15:48:56.4094137+03:00 | Bilgi | Ham TCP bağlantı testi başarılı.
2026-04-13T15:48:56.4126459+03:00 | Bilgi | GMP.XML optimize ayarları uygulanıyor
2026-04-13T15:48:56.4181773+03:00 | Bilgi | Ingenico arayüzü hazırlanıyor
2026-04-13T15:48:56.4181843+03:00 | Bilgi | DLL'e gönderilecek bağlantı bilgileri:
2026-04-13T15:48:56.4189508+03:00 | Bilgi | InterfaceId: COM1, Mod: TCP, IP: 192.168.2.13, Port: 7500
2026-04-13T15:48:56.4340704+03:00 | Bilgi | FP3_GetInterfaceHandleByID retcode: 0
2026-04-13T15:48:56.4392412+03:00 | Bilgi | Interface XML Data: {"RetryCounter":3,"IpRetryCount":1,"AckTimeOut":1500,"CommTimeOut":10000,"InterCharacterTimeOut":100,"PortName":"\\\\.\\COM5","BaudRate":115200,"ByteSize":8,"fParity":0,"Parity":0,"StopBit":0,"IsTcpConnection":1,"IP":"192.168.2.13","Port":7500,"IsTcpKeepAlive":1}
2026-04-13T15:48:56.4405634+03:00 | Bilgi | Mevcut Ingenico interface bulundu. Handle: 652162138
2026-04-13T15:48:56.7431658+03:00 | Bilgi | Json_FP3_UpdateInterfaceXmlDataByID retcode: 0
2026-04-13T15:48:56.7581600+03:00 | Bilgi | FP3_GetInterfaceHandleByID retcode after create: 0
2026-04-13T15:48:57.7619674+03:00 | Bilgi | Json_FP3_FunctionGetHandleList retcode: 0
2026-04-13T15:48:57.7629712+03:00 | Bilgi | Ingenico ECHO kontrolü çalıştırılıyor.
2026-04-13T15:48:57.7639179+03:00 | Bilgi | Cihaz bağlantısı ECHO ile kontrol ediliyor
2026-04-13T15:48:58.5990340+03:00 | Bilgi | Json_FP3_Echo retcode: 0
2026-04-13T15:48:58.5994506+03:00 | Bilgi | Ingenico ECHO başarılı.
2026-04-13T15:48:58.5997384+03:00 | Bilgi | Mali fiş işlemi başlatılıyor
2026-04-13T15:48:59.7734953+03:00 | Bilgi | FP3_StartEx retcode: 2449
2026-04-13T15:48:59.7760831+03:00 | Hata | Ingenico hata: pairing
2026-04-13T15:49:03.7639326+03:00 | Bilgi | Ingenico In-Process Task başlatılıyor. İşlem: payment
2026-04-13T15:49:03.7691410+03:00 | Bilgi | Ingenico ödeme akışı başlatıldı.
2026-04-13T15:49:03.7694046+03:00 | Bilgi | Bağlantı Ayarı => Mod: Tcp, InterfaceId: COM1, IP: 192.168.2.13, Port: 7500, COM: \\.\COM5, Baud: 115200
2026-04-13T15:49:03.7696290+03:00 | Bilgi | TCP Probe başlatılıyor: 192.168.2.13:7500
2026-04-13T15:49:03.7841171+03:00 | Bilgi | Ham TCP bağlantı testi başarılı.
2026-04-13T15:49:03.7849920+03:00 | Bilgi | GMP.XML optimize ayarları uygulanıyor
2026-04-13T15:49:03.7892830+03:00 | Bilgi | DLL'e gönderilecek bağlantı bilgileri:
2026-04-13T15:49:03.7893376+03:00 | Bilgi | Ingenico arayüzü hazırlanıyor
2026-04-13T15:49:03.7897897+03:00 | Bilgi | InterfaceId: COM1, Mod: TCP, IP: 192.168.2.13, Port: 7500
2026-04-13T15:49:03.8000563+03:00 | Bilgi | FP3_GetInterfaceHandleByID retcode: 0
2026-04-13T15:49:03.8011330+03:00 | Bilgi | Interface XML Data: {"RetryCounter":3,"IpRetryCount":1,"AckTimeOut":1500,"CommTimeOut":10000,"InterCharacterTimeOut":100,"PortName":"\\\\.\\COM5","BaudRate":115200,"ByteSize":8,"fParity":0,"Parity":0,"StopBit":0,"IsTcpConnection":1,"IP":"192.168.2.13","Port":7500,"IsTcpKeepAlive":1}
2026-04-13T15:49:03.8018131+03:00 | Bilgi | Mevcut Ingenico interface bulundu. Handle: 652162138
2026-04-13T15:49:04.0305439+03:00 | Bilgi | Json_FP3_UpdateInterfaceXmlDataByID retcode: 0
2026-04-13T15:49:04.0452825+03:00 | Bilgi | FP3_GetInterfaceHandleByID retcode after create: 0
2026-04-13T15:49:05.0714835+03:00 | Bilgi | Json_FP3_FunctionGetHandleList retcode: 0
2026-04-13T15:49:05.0722976+03:00 | Bilgi | Ingenico ECHO kontrolü çalıştırılıyor.
2026-04-13T15:49:05.0730587+03:00 | Bilgi | Cihaz bağlantısı ECHO ile kontrol ediliyor
2026-04-13T15:49:06.0337503+03:00 | Bilgi | Json_FP3_Echo retcode: 0
2026-04-13T15:49:06.0339980+03:00 | Bilgi | Ingenico ECHO başarılı.
2026-04-13T15:49:06.0360111+03:00 | Bilgi | Mali fiş işlemi başlatılıyor
2026-04-13T15:49:07.0728214+03:00 | Bilgi | FP3_StartEx retcode: 2449
2026-04-13T15:49:07.0732004+03:00 | Hata | Ingenico hata: pairing
2026-04-13T15:49:08.5980031+03:00 | Bilgi | Mock ödeme işlemi temizlendi
